"BehaviorSpace results (NetLogo 6.1.1)"
"NetLogo_PSO_Playground.nlogo"
"particle-inertia-nc"
"01/05/2025 14:10:43:800 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-100","100","-100","100"
"[run number]","trails-mode","path-to-save","path-to-load","highlight-mode","Constraints","Constraint","constraint_handling_method","fitness_function","particle-inertia","swarm-confidence","population-size","particle-speed-limit","personal-confidence","[step]","global-best-val","iterations"
"8","None","filename.txt","setting_1.txt","Best found","false","Constraint 2","Rejection Method","Shubert","0.5","1.6","13","13","0.8","0","0","0"
"12","None","filename.txt","setting_1.txt","Best found","false","Constraint 2","Rejection Method","Booth","0.75","1.6","13","13","0.8","0","0","0"
"8","None","filename.txt","setting_1.txt","Best found","false","Constraint 2","Rejection Method","Shubert","0.5","1.6","13","13","0.8","1","0.834415235867998","1"
"8","None","filename.txt","setting_1.txt","Best found","false","Constraint 2","Rejection Method","Shubert","0.5","1.6","13","13","0.8","2","0.985863946519187","2"
"11","None","filename.txt","setting_1.txt","Best found","false","Constraint 2","Rejection Method","Booth","0.5","1.6","13","13","0.8","0","0","0"
"8","None","filename.txt","setting_1.txt","Best found","false","Constraint 2","Rejection Method","Shubert","0.5","1.6","13","13","0.8","3","0.9996227175602576","3"
"8","None","filename.txt","setting_1.txt","Best found","false","Constraint 2","Rejection Method","Shubert","0.5","1.6","13","13","0.8","4","0.9996227175602576","4"
"8","None","filename.txt","setting_1.txt","Best found","false","Constraint 2","Rejection Method","Shubert","0.5","1.6","13","13","0.8","5","0.9996227175602576","5"
"8","None","filename.txt","setting_1.txt","Best found","false","Constraint 2","Rejection Method","Shubert","0.5","1.6","13","13","0.8","6","0.999898714386866","6"
"12","None","filename.txt","setting_1.txt","Best found","false","Constraint 2","Rejection Method","Booth","0.75","1.6","13","13","0.8","1","0.834415235867998","1"
"8","None","filename.txt","setting_1.txt","Best found","false","Constraint 2","Rejection Method","Shubert","0.5","1.6","13","13","0.8","7","0.999898714386866","7"
"8","None","filename.txt","setting_1.txt","Best found","false","Constraint 2","Rejection Method","Shubert","0.5","1.6","13","13","0.8","8","0.999898714386866","8"
"12","None","filename.txt","setting_1.txt","Best found","false","Constraint 2","Rejection Method","Booth","0.75","1.6","13","13","0.8","2","0.9788851343711682","2"
"4","None","filename.txt","setting_1.txt","Best found","false","Constraint 2","Rejection Method","Schwefel","0.25","1.6","13","13","0.8","0","0","0"
"8","None","filename.txt","setting_1.txt","Best found","false","Constraint 2","Rejection Method","Shubert","0.5","1.6","13","13","0.8","9","0.999898714386866","9"
"12","None","filename.txt","setting_1.txt","Best found","false","Constraint 2","Rejection Method","Booth","0.75","1.6","13","13","0.8","3","0.9915507707170792","3"
"9","None","filename.txt","setting_1.txt","Best found","false","Constraint 2","Rejection Method","Shubert","0.75","1.6","13","13","0.8","0","0","0"
"12","None","filename.txt","setting_1.txt","Best found","false","Constraint 2","Rejection Method","Booth","0.75","1.6","13","13","0.8","4","0.9996227175602576","4"
"12","None","filename.txt","setting_1.txt","Best found","false","Constraint 2","Rejection Method","Booth","0.75","1.6","13","13","0.8","5","0.9996227175602576","5"
"7","None","filename.txt","setting_1.txt","Best found","false","Constraint 2","Rejection Method","Shubert","0.25","1.6","13","13","0.8","0","0","0"
"11","None","filename.txt","setting_1.txt","Best found","false","Constraint 2","Rejection Method","Booth","0.5","1.6","13","13","0.8","1","0.834415235867998","1"
"11","None","filename.txt","setting_1.txt","Best found","false","Constraint 2","Rejection Method","Booth","0.5","1.6","13","13","0.8","2","0.985863946519187","2"
"11","None","filename.txt","setting_1.txt","Best found","false","Constraint 2","Rejection Method","Booth","0.5","1.6","13","13","0.8","3","0.9996227175602576","3"
"11","None","filename.txt","setting_1.txt","Best found","false","Constraint 2","Rejection Method","Booth","0.5","1.6","13","13","0.8","4","0.9996227175602576","4"
"10","None","filename.txt","setting_1.txt","Best found","false","Constraint 2","Rejection Method","Booth","0.25","1.6","13","13","0.8","0","0","0"
"11","None","filename.txt","setting_1.txt","Best found","false","Constraint 2","Rejection Method","Booth","0.5","1.6","13","13","0.8","5","0.9996227175602576","5"
"11","None","filename.txt","setting_1.txt","Best found","false","Constraint 2","Rejection Method","Booth","0.5","1.6","13","13","0.8","6","0.999898714386866","6"
"11","None","filename.txt","setting_1.txt","Best found","false","Constraint 2","Rejection Method","Booth","0.5","1.6","13","13","0.8","7","0.999898714386866","7"
"11","None","filename.txt","setting_1.txt","Best found","false","Constraint 2","Rejection Method","Booth","0.5","1.6","13","13","0.8","8","0.999898714386866","8"
"11","None","filename.txt","setting_1.txt","Best found","false","Constraint 2","Rejection Method","Booth","0.5","1.6","13","13","0.8","9","0.999898714386866","9"
"3","None","filename.txt","setting_1.txt","Best found","false","Constraint 2","Rejection Method","Langermann","0.75","1.6","13","13","0.8","0","0","0"
"4","None","filename.txt","setting_1.txt","Best found","false","Constraint 2","Rejection Method","Schwefel","0.25","1.6","13","13","0.8","1","0.834415235867998","1"
"9","None","filename.txt","setting_1.txt","Best found","false","Constraint 2","Rejection Method","Shubert","0.75","1.6","13","13","0.8","1","0.834415235867998","1"
"4","None","filename.txt","setting_1.txt","Best found","false","Constraint 2","Rejection Method","Schwefel","0.25","1.6","13","13","0.8","2","0.985863946519187","2"
"9","None","filename.txt","setting_1.txt","Best found","false","Constraint 2","Rejection Method","Shubert","0.75","1.6","13","13","0.8","2","0.9788851343711682","2"
"4","None","filename.txt","setting_1.txt","Best found","false","Constraint 2","Rejection Method","Schwefel","0.25","1.6","13","13","0.8","3","0.9984040610211258","3"
"4","None","filename.txt","setting_1.txt","Best found","false","Constraint 2","Rejection Method","Schwefel","0.25","1.6","13","13","0.8","4","0.9987707939215952","4"
"9","None","filename.txt","setting_1.txt","Best found","false","Constraint 2","Rejection Method","Shubert","0.75","1.6","13","13","0.8","3","0.9915507707170792","3"
"6","None","filename.txt","setting_1.txt","Best found","false","Constraint 2","Rejection Method","Schwefel","0.75","1.6","13","13","0.8","0","0","0"
"7","None","filename.txt","setting_1.txt","Best found","false","Constraint 2","Rejection Method","Shubert","0.25","1.6","13","13","0.8","1","0.834415235867998","1"
"9","None","filename.txt","setting_1.txt","Best found","false","Constraint 2","Rejection Method","Shubert","0.75","1.6","13","13","0.8","4","0.9996227175602576","4"
"7","None","filename.txt","setting_1.txt","Best found","false","Constraint 2","Rejection Method","Shubert","0.25","1.6","13","13","0.8","2","0.985863946519187","2"
"9","None","filename.txt","setting_1.txt","Best found","false","Constraint 2","Rejection Method","Shubert","0.75","1.6","13","13","0.8","5","0.9996227175602576","5"
"7","None","filename.txt","setting_1.txt","Best found","false","Constraint 2","Rejection Method","Shubert","0.25","1.6","13","13","0.8","3","0.9984040610211258","3"
"7","None","filename.txt","setting_1.txt","Best found","false","Constraint 2","Rejection Method","Shubert","0.25","1.6","13","13","0.8","4","0.9987707939215952","4"
"1","None","filename.txt","setting_1.txt","Best found","false","Constraint 2","Rejection Method","Langermann","0.25","1.6","13","13","0.8","0","0","0"
"10","None","filename.txt","setting_1.txt","Best found","false","Constraint 2","Rejection Method","Booth","0.25","1.6","13","13","0.8","1","0.834415235867998","1"
"3","None","filename.txt","setting_1.txt","Best found","false","Constraint 2","Rejection Method","Langermann","0.75","1.6","13","13","0.8","1","0.834415235867998","1"
"10","None","filename.txt","setting_1.txt","Best found","false","Constraint 2","Rejection Method","Booth","0.25","1.6","13","13","0.8","2","0.985863946519187","2"
"3","None","filename.txt","setting_1.txt","Best found","false","Constraint 2","Rejection Method","Langermann","0.75","1.6","13","13","0.8","2","0.9788851343711682","2"
"10","None","filename.txt","setting_1.txt","Best found","false","Constraint 2","Rejection Method","Booth","0.25","1.6","13","13","0.8","3","0.9984040610211258","3"
"2","None","filename.txt","setting_1.txt","Best found","false","Constraint 2","Rejection Method","Langermann","0.5","1.6","13","13","0.8","0","0","0"
"3","None","filename.txt","setting_1.txt","Best found","false","Constraint 2","Rejection Method","Langermann","0.75","1.6","13","13","0.8","3","0.9915507707170792","3"
"10","None","filename.txt","setting_1.txt","Best found","false","Constraint 2","Rejection Method","Booth","0.25","1.6","13","13","0.8","4","0.9987707939215952","4"
"3","None","filename.txt","setting_1.txt","Best found","false","Constraint 2","Rejection Method","Langermann","0.75","1.6","13","13","0.8","4","0.9996227175602576","4"
"6","None","filename.txt","setting_1.txt","Best found","false","Constraint 2","Rejection Method","Schwefel","0.75","1.6","13","13","0.8","1","0.834415235867998","1"
"3","None","filename.txt","setting_1.txt","Best found","false","Constraint 2","Rejection Method","Langermann","0.75","1.6","13","13","0.8","5","0.9996227175602576","5"
"6","None","filename.txt","setting_1.txt","Best found","false","Constraint 2","Rejection Method","Schwefel","0.75","1.6","13","13","0.8","2","0.9788851343711682","2"
"6","None","filename.txt","setting_1.txt","Best found","false","Constraint 2","Rejection Method","Schwefel","0.75","1.6","13","13","0.8","3","0.9915507707170792","3"
"6","None","filename.txt","setting_1.txt","Best found","false","Constraint 2","Rejection Method","Schwefel","0.75","1.6","13","13","0.8","4","0.9996227175602576","4"
