"BehaviorSpace results (NetLogo 6.1.1)"
"NetLogo_PSO_Playground.nlogo"
"personal-confidence-swarm-confidence_nc"
"01/05/2025 20:59:46:156 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-100","100","-100","100"
"[run number]","trails-mode","path-to-save","path-to-load","highlight-mode","Constraints","Constraint","constraint_handling_method","fitness_function","particle-inertia","swarm-confidence","population-size","particle-speed-limit","personal-confidence","[step]","global-best-val","iterations"
"10","None","filename.txt","setting_1.txt","Best found","false","Constraint 2","Rejection Method","Langermann","0.3","0.3","10","13","0.3","0","0","0"
"4","None","filename.txt","setting_1.txt","Best found","false","Constraint 2","Rejection Method","Langermann","0.3","0.3","10","13","0.3","0","0","0"
"9","None","filename.txt","setting_1.txt","Best found","false","Constraint 2","Rejection Method","Langermann","0.3","0.3","10","13","0.3","0","0","0"
"9","None","filename.txt","setting_1.txt","Best found","false","Constraint 2","Rejection Method","Langermann","0.3","0.3","10","13","0.3","1","0.834415235867998","1"
"10","None","filename.txt","setting_1.txt","Best found","false","Constraint 2","Rejection Method","Langermann","0.3","0.3","10","13","0.3","1","0.834415235867998","1"
"4","None","filename.txt","setting_1.txt","Best found","false","Constraint 2","Rejection Method","Langermann","0.3","0.3","10","13","0.3","1","0.834415235867998","1"
"10","None","filename.txt","setting_1.txt","Best found","false","Constraint 2","Rejection Method","Langermann","0.3","0.3","10","13","0.3","2","0.9723107589331565","2"
"9","None","filename.txt","setting_1.txt","Best found","false","Constraint 2","Rejection Method","Langermann","0.3","0.3","10","13","0.3","2","0.9723107589331565","2"
"4","None","filename.txt","setting_1.txt","Best found","false","Constraint 2","Rejection Method","Langermann","0.3","0.3","10","13","0.3","2","0.9723107589331565","2"
"10","None","filename.txt","setting_1.txt","Best found","false","Constraint 2","Rejection Method","Langermann","0.3","0.3","10","13","0.3","3","0.9880903850168091","3"
"10","None","filename.txt","setting_1.txt","Best found","false","Constraint 2","Rejection Method","Langermann","0.3","0.3","10","13","0.3","4","0.9918091601764102","4"
