"BehaviorSpace results (NetLogo 6.1.1)"
"NetLogo_PSO_Playground.nlogo"
"population-size-nc"
"01/05/2025 14:10:33:598 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-100","100","-100","100"
"[run number]","trails-mode","path-to-save","path-to-load","highlight-mode","Constraints","constraint_handling_method","fitness_function","particle-inertia","swarm-confidence","population-size","particle-speed-limit","personal-confidence","[step]","global-best-val","iterations"
"12","None","filename.txt","setting_1.txt","Best found","false","Rejection Method","Booth","0.3","1.6","50","13","0.8","0","0","0"
"6","None","filename.txt","setting_1.txt","Best found","false","Rejection Method","Schwefel","0.3","1.6","50","13","0.8","0","0","0"
"3","None","filename.txt","setting_1.txt","Best found","false","Rejection Method","Langermann","0.3","1.6","50","13","0.8","0","0","0"
"10","None","filename.txt","setting_1.txt","Best found","false","Rejection Method","Booth","0.3","1.6","10","13","0.8","0","0","0"
"8","None","filename.txt","setting_1.txt","Best found","false","Rejection Method","Shubert","0.3","1.6","25","13","0.8","0","0","0"
"6","None","filename.txt","setting_1.txt","Best found","false","Rejection Method","Schwefel","0.3","1.6","50","13","0.8","1","0.834415235867998","1"
"12","None","filename.txt","setting_1.txt","Best found","false","Rejection Method","Booth","0.3","1.6","50","13","0.8","1","0.834415235867998","1"
"7","None","filename.txt","setting_1.txt","Best found","false","Rejection Method","Shubert","0.3","1.6","10","13","0.8","0","0","0"
"5","None","filename.txt","setting_1.txt","Best found","false","Rejection Method","Schwefel","0.3","1.6","25","13","0.8","0","0","0"
"6","None","filename.txt","setting_1.txt","Best found","false","Rejection Method","Schwefel","0.3","1.6","50","13","0.8","2","0.985863946519187","2"
"12","None","filename.txt","setting_1.txt","Best found","false","Rejection Method","Booth","0.3","1.6","50","13","0.8","2","0.985863946519187","2"
"6","None","filename.txt","setting_1.txt","Best found","false","Rejection Method","Schwefel","0.3","1.6","50","13","0.8","3","0.9980223799115477","3"
"11","None","filename.txt","setting_1.txt","Best found","false","Rejection Method","Booth","0.3","1.6","25","13","0.8","0","0","0"
"12","None","filename.txt","setting_1.txt","Best found","false","Rejection Method","Booth","0.3","1.6","50","13","0.8","3","0.9980223799115477","3"
"6","None","filename.txt","setting_1.txt","Best found","false","Rejection Method","Schwefel","0.3","1.6","50","13","0.8","4","0.9980223799115477","4"
"6","None","filename.txt","setting_1.txt","Best found","false","Rejection Method","Schwefel","0.3","1.6","50","13","0.8","5","0.9988660575207136","5"
"12","None","filename.txt","setting_1.txt","Best found","false","Rejection Method","Booth","0.3","1.6","50","13","0.8","4","0.9980223799115477","4"
"12","None","filename.txt","setting_1.txt","Best found","false","Rejection Method","Booth","0.3","1.6","50","13","0.8","5","0.9988660575207136","5"
"3","None","filename.txt","setting_1.txt","Best found","false","Rejection Method","Langermann","0.3","1.6","50","13","0.8","1","0.834415235867998","1"
"3","None","filename.txt","setting_1.txt","Best found","false","Rejection Method","Langermann","0.3","1.6","50","13","0.8","2","0.985863946519187","2"
"3","None","filename.txt","setting_1.txt","Best found","false","Rejection Method","Langermann","0.3","1.6","50","13","0.8","3","0.9980223799115477","3"
"9","None","filename.txt","setting_1.txt","Best found","false","Rejection Method","Shubert","0.3","1.6","50","13","0.8","0","0","0"
"3","None","filename.txt","setting_1.txt","Best found","false","Rejection Method","Langermann","0.3","1.6","50","13","0.8","4","0.9980223799115477","4"
"4","None","filename.txt","setting_1.txt","Best found","false","Rejection Method","Schwefel","0.3","1.6","10","13","0.8","0","0","0"
"8","None","filename.txt","setting_1.txt","Best found","false","Rejection Method","Shubert","0.3","1.6","25","13","0.8","1","0.834415235867998","1"
"3","None","filename.txt","setting_1.txt","Best found","false","Rejection Method","Langermann","0.3","1.6","50","13","0.8","5","0.9988660575207136","5"
"8","None","filename.txt","setting_1.txt","Best found","false","Rejection Method","Shubert","0.3","1.6","25","13","0.8","2","0.985863946519187","2"
"8","None","filename.txt","setting_1.txt","Best found","false","Rejection Method","Shubert","0.3","1.6","25","13","0.8","3","0.9980223799115477","3"
"10","None","filename.txt","setting_1.txt","Best found","false","Rejection Method","Booth","0.3","1.6","10","13","0.8","1","0.834415235867998","1"
"8","None","filename.txt","setting_1.txt","Best found","false","Rejection Method","Shubert","0.3","1.6","25","13","0.8","4","0.9980223799115477","4"
"10","None","filename.txt","setting_1.txt","Best found","false","Rejection Method","Booth","0.3","1.6","10","13","0.8","2","0.985863946519187","2"
"8","None","filename.txt","setting_1.txt","Best found","false","Rejection Method","Shubert","0.3","1.6","25","13","0.8","5","0.9988660575207136","5"
"10","None","filename.txt","setting_1.txt","Best found","false","Rejection Method","Booth","0.3","1.6","10","13","0.8","3","0.9980223799115477","3"
"10","None","filename.txt","setting_1.txt","Best found","false","Rejection Method","Booth","0.3","1.6","10","13","0.8","4","0.9980223799115477","4"
"1","None","filename.txt","setting_1.txt","Best found","false","Rejection Method","Langermann","0.3","1.6","10","13","0.8","0","0","0"
"2","None","filename.txt","setting_1.txt","Best found","false","Rejection Method","Langermann","0.3","1.6","25","13","0.8","0","0","0"
"9","None","filename.txt","setting_1.txt","Best found","false","Rejection Method","Shubert","0.3","1.6","50","13","0.8","1","0.834415235867998","1"
"5","None","filename.txt","setting_1.txt","Best found","false","Rejection Method","Schwefel","0.3","1.6","25","13","0.8","1","0.834415235867998","1"
"7","None","filename.txt","setting_1.txt","Best found","false","Rejection Method","Shubert","0.3","1.6","10","13","0.8","1","0.834415235867998","1"
"11","None","filename.txt","setting_1.txt","Best found","false","Rejection Method","Booth","0.3","1.6","25","13","0.8","1","0.834415235867998","1"
"10","None","filename.txt","setting_1.txt","Best found","false","Rejection Method","Booth","0.3","1.6","10","13","0.8","5","0.9988660575207136","5"
"11","None","filename.txt","setting_1.txt","Best found","false","Rejection Method","Booth","0.3","1.6","25","13","0.8","2","0.985863946519187","2"
"9","None","filename.txt","setting_1.txt","Best found","false","Rejection Method","Shubert","0.3","1.6","50","13","0.8","2","0.985863946519187","2"
"5","None","filename.txt","setting_1.txt","Best found","false","Rejection Method","Schwefel","0.3","1.6","25","13","0.8","2","0.985863946519187","2"
"7","None","filename.txt","setting_1.txt","Best found","false","Rejection Method","Shubert","0.3","1.6","10","13","0.8","2","0.985863946519187","2"
"9","None","filename.txt","setting_1.txt","Best found","false","Rejection Method","Shubert","0.3","1.6","50","13","0.8","3","0.9980223799115477","3"
"11","None","filename.txt","setting_1.txt","Best found","false","Rejection Method","Booth","0.3","1.6","25","13","0.8","3","0.9980223799115477","3"
"5","None","filename.txt","setting_1.txt","Best found","false","Rejection Method","Schwefel","0.3","1.6","25","13","0.8","3","0.9980223799115477","3"
"7","None","filename.txt","setting_1.txt","Best found","false","Rejection Method","Shubert","0.3","1.6","10","13","0.8","3","0.9980223799115477","3"
"5","None","filename.txt","setting_1.txt","Best found","false","Rejection Method","Schwefel","0.3","1.6","25","13","0.8","4","0.9980223799115477","4"
"9","None","filename.txt","setting_1.txt","Best found","false","Rejection Method","Shubert","0.3","1.6","50","13","0.8","4","0.9980223799115477","4"
"11","None","filename.txt","setting_1.txt","Best found","false","Rejection Method","Booth","0.3","1.6","25","13","0.8","4","0.9980223799115477","4"
"7","None","filename.txt","setting_1.txt","Best found","false","Rejection Method","Shubert","0.3","1.6","10","13","0.8","4","0.9980223799115477","4"
"4","None","filename.txt","setting_1.txt","Best found","false","Rejection Method","Schwefel","0.3","1.6","10","13","0.8","1","0.834415235867998","1"
"5","None","filename.txt","setting_1.txt","Best found","false","Rejection Method","Schwefel","0.3","1.6","25","13","0.8","5","0.9988660575207136","5"
"9","None","filename.txt","setting_1.txt","Best found","false","Rejection Method","Shubert","0.3","1.6","50","13","0.8","5","0.9988660575207136","5"
